node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
28,23,274.745252673201,110.137947110047,23.7760341514924,119.23715689682,28.2746430472349,274.745252673201,0,1737.29310349118,2012.03835616438,SC2_KF294457.1,main,main
28,29,61.8884638519531,110.137947110047,23.7760341514924,110.069079783206,23.0589911519925,61.8884638519531,0,1737.29310349118,1799.18156734314,NA,main,main
29,30,40.1426338283749,110.069079783206,23.0589911519925,110.12487575265,23.0812642322205,102.031097680328,61.8884638519531,1799.18156734314,1839.32420117151,NA,main,main
30,35,46.0501631386099,110.12487575265,23.0812642322205,110.057832561939,22.0752506728119,148.081260818938,102.031097680328,1839.32420117151,1885.37436431012,NA,main,main
35,36,36.2790980580438,110.057832561939,22.0752506728119,109.219178707606,21.0359131064992,184.360358876982,148.081260818938,1885.37436431012,1921.65346236816,NA,main,main
36,38,29.4146495608775,109.219178707606,21.0359131064992,107.87430523,20.0942830943138,213.775008437859,184.360358876982,1921.65346236816,1951.06811192904,NA,main,main
36,37,51.1151370146077,109.219178707606,21.0359131064992,109.600641735911,20.6827156865859,235.47549589159,184.360358876982,1921.65346236816,1972.76859938277,NA,main,main
35,50,95.5556915656671,110.057832561939,22.0752506728119,112.935560126831,25.4825931115392,243.636952384605,148.081260818938,1885.37436431012,1980.93005587579,NA,main,main
38,40,32.2117695456557,107.87430523,20.0942830943138,101.752145102761,21.6143772963559,245.986777983515,213.775008437859,1951.06811192904,1983.2798814747,NA,main,main
40,43,4.78475935231123,101.752145102761,21.6143772963559,101.721240446696,21.6180398313093,250.771537335826,245.986777983515,1983.2798814747,1988.06464082701,NA,main,main
40,41,4.87925154226193,101.752145102761,21.6143772963559,101.762818138503,21.6467437518983,250.866029525777,245.986777983515,1983.2798814747,1988.15913301696,NA,main,main
43,45,4.38671432212118,101.721240446696,21.6180398313093,102.093702132547,18.5581638314247,255.158251657947,250.771537335826,1988.06464082701,1992.45135514913,NA,main,main
50,53,19.6237601189849,112.935560126831,25.4825931115392,122.364826649711,30.1394857509714,263.26071250359,243.636952384605,1980.93005587579,2000.55381599477,NA,main,main
41,42,12.4542359554228,101.762818138503,21.6467437518983,102.244556077877,22.6683762041571,263.3202654812,250.866029525777,1988.15913301696,2000.61336897238,NA,main,main
45,46,8.20640793319656,102.093702132547,18.5581638314247,102.037484863434,18.5136209019719,263.364659591144,255.158251657947,1992.45135514913,2000.65776308233,NA,main,main
50,51,21.1670448891853,112.935560126831,25.4825931115392,113.365911253032,25.9425748318696,264.80399727379,243.636952384605,1980.93005587579,2002.09710076497,NA,main,main
43,44,21.1037401212117,101.721240446696,21.6180398313093,101.464332990131,21.5982897512206,271.875277457038,250.771537335826,1988.06464082701,2009.16838094822,NA,main,main
