node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,host
28,29,5544.928354,112.323115070431,25.4684371969532,113.513080444919,26.1511255031081,5544.928354,0,-6200.29358255105,-655.36522855105,NA,NA
28,37,5624.213621,112.323115070431,25.4684371969532,109.827210231957,23.9008820052472,5624.213621,0,-6200.29358255105,-576.07996155105,NA,NA
37,42,1762.186515,109.827210231957,23.9008820052472,109.175890514403,23.3874484911355,7386.400136,5624.213621,-576.07996155105,1186.10655344895,NA,NA
29,30,2101.856039,113.513080444919,26.1511255031081,113.828205776486,26.6816904091413,7646.784393,5544.928354,-655.36522855105,1446.49081044895,NA,NA
30,33,495.012356,113.828205776486,26.6816904091413,110.69723065771,26.6275846053416,8141.796749,7646.784393,1446.49081044895,1941.50316644895,NA,NA
42,43,762.0382281,109.175890514403,23.3874484911355,102.773917581812,20.4812901600742,8148.4383641,7386.400136,1186.10655344895,1948.14478154895,NA,NA
43,46,10.09207281,102.773917581812,20.4812901600742,102.035222125207,20.8550613888135,8158.53043691,8148.4383641,1948.14478154895,1958.23685435895,NA,NA
46,47,19.6409022,102.035222125207,20.8550613888135,101.960083100759,21.5990226999217,8178.17133911,8158.53043691,1958.23685435895,1977.87775655895,NA,NA
30,31,539.9429814,113.828205776486,26.6816904091413,120.720371369468,28.8233446389407,8186.7273744,7646.784393,1446.49081044895,1986.43379184895,NA,NA
46,49,30.64583674,102.035222125207,20.8550613888135,101.939714689357,20.6894345129402,8189.17627365,8158.53043691,1958.23685435895,1988.88269109895,NA,NA
47,48,18.20227509,101.960083100759,21.5990226999217,102.108758299165,21.664144030362,8196.3736142,8178.17133911,1977.87775655895,1996.08003164895,NA,NA
33,35,55.43284548,110.69723065771,26.6275846053416,111.595578638164,27.3165281207896,8197.22959448,8141.796749,1941.50316644895,1996.93601192895,NA,NA
33,34,65.06752787,110.69723065771,26.6275846053416,103.124868911332,24.3724063341072,8206.86427687,8141.796749,1941.50316644895,2006.57069431895,NA,NA
31,32,20.34205701,120.720371369468,28.8233446389407,122.171249668706,29.7001243132377,8207.06943141,8186.7273744,1986.43379184895,2006.77584885895,NA,NA
43,44,59.47535715,102.773917581812,20.4812901600742,102.632932574446,13.8762171277829,8207.91372125,8148.4383641,1948.14478154895,2007.62013869895,NA,NA
49,50,20.59380623,101.939714689357,20.6894345129402,102.117654746239,18.6641813814738,8209.77007988,8189.17627365,1988.88269109895,2009.47649732895,NA,NA
50,51,5.087829174,102.117654746239,18.6641813814738,102.186156431858,18.7300668062901,8214.857909054,8209.77007988,2009.47649732895,2014.56432650295,NA,NA
51,52,4.85859999,102.186156431858,18.7300668062901,102.071645140306,18.6473689169281,8219.716509044,8214.857909054,2014.56432650295,2019.42292649295,NA,NA
44,45,12.09412611,102.632932574446,13.8762171277829,106.135839043896,13.7511785768689,8220.00784736,8207.91372125,2007.62013869895,2019.71426480895,NA,NA
50,53,10.83718813,102.117654746239,18.6641813814738,102.232685236603,18.6482085709666,8220.60726801,8209.77007988,2009.47649732895,2020.31368545895,NA,NA
37,38,2596.582338,109.827210231957,23.9008820052472,108.918012742601,23.7479322994912,8220.795959,5624.213621,-576.07996155105,2020.50237644895,NA,NA
51,23,5.972199324,102.186156431858,18.7300668062901,102.367880407186,18.8087618457726,8220.830108378,8214.857909054,2014.56432650295,2020.53652582695,SC2_MZ937001.1,Rhinolophus pusillus
52,21,1.113599334,102.071645140306,18.6473689169281,102.029524637092,18.7412331017613,8220.830108378,8219.716509044,2019.42292649295,2020.53652582695,SC2_MZ937000.1,Rhinolophus malayanus
52,22,1.113599334,102.071645140306,18.6473689169281,102.021817333291,18.5352999280519,8220.830108378,8219.716509044,2019.42292649295,2020.53652582695,SC2_MZ937003.1,Rhinolophus marshalli
47,20,42.65876927,101.960083100759,21.5990226999217,101.54092409061,23.5142195287495,8220.83010838,8178.17133911,1977.87775655895,2020.53652582895,SC2_MN996532.2,Rhinolophus affinis
49,26,31.65383473,101.939714689357,20.6894345129402,101.483649079322,21.2665202376267,8220.83010838,8189.17627365,1988.88269109895,2020.53652582895,SC2_MZ081381.1,Rhinolophus pusillus
48,18,24.45649418,102.108758299165,21.664144030362,101.703581856675,21.3278364934271,8220.83010838,8196.3736142,1996.08003164895,2020.53652582895,SC2_EPI_ISL_412977,Rhinolophus malayanus
48,19,24.45649418,102.108758299165,21.664144030362,114.285286331388,30.5478269817327,8220.83010838,8196.3736142,1996.08003164895,2020.53652582895,SC2_MN908947.3,Homo sapiens
44,17,12.91638713,102.632932574446,13.8762171277829,101.23613479509,13.5386585710459,8220.83010838,8207.91372125,2007.62013869895,2020.53652582895,SC2_MW251308.1,Rhinolophus acuminatus
45,15,0.8222610203,106.135839043896,13.7511785768689,106.196154967414,13.8015117168209,8220.8301083803,8220.00784736,2019.71426480895,2020.53652582925,SC2_EPI_ISL_852605,Rhinolophus shameli
