node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
143,144,419.412110116368,104.091700654232,23.9436686696956,102.359352673018,24.700525510492,419.412110116368,0,1071.56682305092,1490.97893316729,NA,main,main
144,147,126.835568980931,102.359352673018,24.700525510492,102.298764840244,26.6266680771552,546.247679097299,419.412110116368,1490.97893316729,1617.81450214822,NA,main,main
143,196,572.761092266246,104.091700654232,23.9436686696956,102.770527992394,25.0652275091107,572.761092266246,0,1071.56682305092,1644.32791531717,NA,main,main
147,187,190.951134643415,102.298764840244,26.6266680771552,105.794321339247,31.9584194365813,737.198813740714,546.247679097299,1617.81450214822,1808.76563679164,NA,main,main
147,148,230.982924829518,102.298764840244,26.6266680771552,101.982168831193,26.1059214291764,777.230603926817,546.247679097299,1617.81450214822,1848.79742697774,NA,main,main
196,197,240.877962441343,102.770527992394,25.0652275091107,102.916942048371,25.2067868226477,813.639054707589,572.761092266246,1644.32791531717,1885.20587775851,NA,main,main
196,271,243.386015227535,102.770527992394,25.0652275091107,103.57399733154,24.4606393443012,816.14710749378,572.761092266246,1644.32791531717,1887.7139305447,NA,main,main
197,199,35.9933641499112,102.916942048371,25.2067868226477,103.249334226566,24.6939489137864,849.6324188575,813.639054707589,1885.20587775851,1921.19924190842,NA,main,main
148,158,72.7578822124923,101.982168831193,26.1059214291764,102.05508791899,25.1498139862638,849.988486139309,777.230603926817,1848.79742697774,1921.55530919023,NA,main,main
158,182,22.6982885944506,102.05508791899,25.1498139862638,101.943558999545,25.1514981757126,872.686774733759,849.988486139309,1921.55530919023,1944.25359778468,NA,main,main
158,159,25.8316539486007,102.05508791899,25.1498139862638,110.522786890016,28.1476030122078,875.82014008791,849.988486139309,1921.55530919023,1947.38696313883,NA,main,main
148,149,106.402226634303,101.982168831193,26.1059214291764,102.606778583081,24.7001155252098,883.632830561119,777.230603926817,1848.79742697774,1955.19965361204,NA,main,main
159,173,14.3801076122369,110.522786890016,28.1476030122078,111.091667127197,28.8498089013037,890.200247700146,875.82014008791,1947.38696313883,1961.76707075107,NA,main,main
