node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
40,41,11.1311745746197,104.753164356951,26.664853861588,101.996165234926,24.2160073534448,523.579590161593,512.448415586973,1976.10026287357,1987.23143744819,NA,main,main
41,42,7.6586193673096,101.996165234926,24.2160073534448,102.656976305251,24.268781309513,531.238209528903,523.579590161593,1987.23143744819,1994.8900568155,NA,main,main
42,43,7.06749558016378,102.656976305251,24.268781309513,101.878487083004,21.8572969024621,538.305705109066,531.238209528903,1994.8900568155,2001.95755239567,NA,main,main
36,38,11.9539817339745,109.305341892,28.1212165338214,109.793338089932,28.560070779386,538.580870207891,526.626888473917,1990.27873576052,2002.23271749449,NA,main,main
43,46,4.65999875251011,101.878487083004,21.8572969024621,102.348688981596,18.9694580791836,542.965703861576,538.305705109066,2001.95755239567,2006.61755114818,NA,main,main
36,37,17.2970191885077,109.305341892,28.1212165338214,122.05596458162,30.1119060955761,543.923907662424,526.626888473917,1990.27873576052,2007.57575494902,NA,main,main
46,47,1.08624765077105,102.348688981596,18.9694580791836,102.426185358177,19.1490162979249,544.051951512347,542.965703861576,2006.61755114818,2007.70379879895,NA,main,main
47,48,1.46335127300595,102.426185358177,19.1490162979249,102.294061856733,19.0028982239425,545.515302785353,544.051951512347,2007.70379879895,2009.16715007195,NA,main,main
43,44,8.55274082683643,101.878487083004,21.8572969024621,101.496462218042,21.5238581579356,546.858445935903,538.305705109066,2001.95755239567,2010.5102932225,NA,main,main
52,16,0.000516286221900586,106.178936066994,13.5648478816421,106.195901246863,13.5776031192901,547.315276001071,547.314759714849,2010.96660700145,2010.96712328767,SC2_EPI_ISL_852604,main,main
52,10,0.000516286221900586,106.178936066994,13.5648478816421,106.182566011563,13.5717973697045,547.315276001071,547.314759714849,2010.96660700145,2010.96712328767,SC2_EPI_ISL_852605,main,main
44,45,2.00510026178162,101.496462218042,21.5238581579356,101.442510062204,21.4469172486857,548.863546197684,546.858445935903,2010.5102932225,2012.51539348428,NA,main,main
41,12,26.3658228257799,101.996165234926,24.2160073534448,101.480419654551,23.4246505708098,549.945412987373,523.579590161593,1987.23143744819,2013.59726027397,SC2_MN996532.2,main,main
37,23,7.95849162631828,122.05596458162,30.1119060955761,122.22187853767,29.9475844826963,551.882399288743,543.923907662424,2007.57575494902,2015.53424657534,SC2_MG772934.1,main,main
37,19,9.54753272220853,122.05596458162,30.1119060955761,122.059170785506,30.1382780793962,553.471440384633,543.923907662424,2007.57575494902,2017.12328767123,SC2_MG772933.1,main,main
47,49,9.52085720499555,102.426185358177,19.1490162979249,102.253232418609,18.9920509537573,553.572808717343,544.051951512347,2007.70379879895,2017.22465600394,NA,main,main
45,18,6.1037845979076,101.442510062204,21.4469172486857,100.368017948501,21.5911872486455,554.967330795592,548.863546197684,2012.51539348428,2018.61917808219,SC2_MW703458.1,main,main
45,9,7.00241473489401,101.442510062204,21.4469172486857,101.727260045538,21.6409449878799,555.865960932578,548.863546197684,2012.51539348428,2019.51780821918,SC2_EPI_ISL_412977,main,main
44,27,9.9242378052691,101.496462218042,21.5238581579356,101.426103010208,21.5112417259191,556.782683741172,546.858445935903,2010.5102932225,2020.43453102777,SC2_MZ081381.1,main,main
48,17,11.3794028137417,102.294061856733,19.0028982239425,101.973144889122,18.5158706716186,556.894705599095,545.515302785353,2009.16715007195,2020.54655288569,SC2_MZ937000.1,main,main
48,7,11.3848672946162,102.294061856733,19.0028982239425,101.971848130707,18.6327239722517,556.90017007997,545.515302785353,2009.16715007195,2020.55201736657,SC2_MZ937001.1,main,main
49,8,3.32736136262661,102.253232418609,18.9920509537573,101.922043381095,18.5691120298156,556.90017007997,553.572808717343,2017.22465600394,2020.55201736657,SC2_MZ937002.1,main,main
46,6,13.9426629397046,102.348688981596,18.9694580791836,102.14060030188,18.8167469854568,556.908366801281,542.965703861576,2006.61755114818,2020.56021408788,SC2_MZ937003.1,main,main
49,13,3.33555808393799,102.253232418609,18.9920509537573,102.081831069302,18.7568471807722,556.908366801281,553.572808717343,2017.22465600394,2020.56021408788,SC2_MZ937004.1,main,main
38,39,18.8160753359797,109.793338089932,28.560070779386,109.678928072776,29.3496233374175,557.396945543871,538.580870207891,2002.23271749449,2021.04879283047,NA,main,main
39,21,0.0744948407619651,109.678928072776,29.3496233374175,109.65828018977,29.3590612778133,557.471440384633,557.396945543871,2021.04879283047,2021.12328767123,SC2_OK017804.1,main,main
39,14,0.0744948407619651,109.678928072776,29.3496233374175,109.606014060884,29.2592767971668,557.471440384633,557.396945543871,2021.04879283047,2021.12328767123,SC2_OK017803.1,main,main
38,24,18.9672825055088,109.793338089932,28.560070779386,110.37406189654,28.1369420933457,557.5481527134,538.580870207891,2002.23271749449,2021.2,SC2_OK017805.1,main,main
42,25,26.394874691347,102.656976305251,24.268781309513,104.29794312683,24.4297502423801,557.63308422025,531.238209528903,1994.8900568155,2021.28493150685,SC2_OK017806.1,main,main
