node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
28,29,0.0305496081329912,113.520603956608,28.6253760404671,113.351115186166,28.6574850164992,0.0305496081329912,0,2021.15000706457,2021.1805566727,NA,main,main
28,37,0.0440649995820498,113.520603956608,28.6253760404671,106.943644202922,23.1635370372322,0.0440649995820498,0,2021.15000706457,2021.19407206415,NA,main,main
37,38,0.0182973146155295,106.943644202922,23.1635370372322,106.579482088024,23.4452728837024,0.0623623141975793,0.0440649995820498,2021.19407206415,2021.21236937877,NA,main,main
29,30,0.0416311289951111,113.351115186166,28.6574850164992,111.011406258931,27.5277364139198,0.0721807371281023,0.0305496081329912,2021.1805566727,2021.2221878017,NA,main,main
38,39,0.0499279508111628,106.579482088024,23.4452728837024,101.755494267296,21.1341612792428,0.112290265008742,0.0623623141975793,2021.21236937877,2021.26229732958,NA,main,main
39,45,0.00277255832596175,101.755494267296,21.1341612792428,102.128079474579,21.2732907768511,0.115062823334704,0.112290265008742,2021.26229732958,2021.2650698879,NA,main,main
30,33,0.043880244976815,111.011406258931,27.5277364139198,110.844222266153,27.1081243203445,0.116060982104917,0.0721807371281023,2021.2221878017,2021.26606804667,NA,main,main
39,40,0.00704865463985221,101.755494267296,21.1341612792428,101.473240180212,21.9016307291074,0.119338919648594,0.112290265008742,2021.26229732958,2021.26934598422,NA,main,main
30,31,0.0483130630142551,111.011406258931,27.5277364139198,118.463631263657,28.1306160435713,0.120493800142357,0.0721807371281023,2021.2221878017,2021.27050086471,NA,main,main
45,46,0.00554155718036038,102.128079474579,21.2732907768511,103.486614972408,21.5918186519616,0.120604380515064,0.115062823334704,2021.2650698879,2021.27061144508,NA,main,main
46,47,0.0035985321168317,103.486614972408,21.5918186519616,103.626409325986,21.6028955522669,0.124202912631896,0.120604380515064,2021.27061144508,2021.2742099772,NA,main,main
33,35,0.00866064415719393,110.844222266153,27.1081243203445,110.71966672808,26.6242421031085,0.124721626262111,0.116060982104917,2021.26606804667,2021.27472869083,NA,main,main
31,32,0.00425670984918735,118.463631263657,28.1306160435713,121.753626584217,30.0288391955204,0.124750509991545,0.120493800142357,2021.27050086471,2021.27475757456,NA,main,main
40,41,0.00581631992587194,101.473240180212,21.9016307291074,102.237164956784,18.8841839947033,0.125155239574466,0.119338919648594,2021.26934598422,2021.27516230414,NA,main,main
33,34,0.0119601705495622,110.844222266153,27.1081243203445,101.616075959364,24.5657554347713,0.128021152654479,0.116060982104917,2021.26606804667,2021.27802821722,NA,main,main
