node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,host,startClade,endClade
28,29,705.0831062,109.996394607739,26.9009808648488,112.146778370256,28.413478026079,705.0831062,0,-3505.27790779315,-2800.19480159315,NA,NA,main,main
28,34,3901.09217,109.996394607739,26.9009808648488,109.278055754674,26.3167670659589,3901.09217,0,-3505.27790779315,395.814262206849,NA,NA,main,main
34,35,909.9334328,109.278055754674,26.3167670659589,110.685466410184,26.9540378458377,4811.0256028,3901.09217,395.814262206849,1305.74769500685,NA,NA,main,main
34,42,1404.068756,109.278055754674,26.3167670659589,105.01530816343,24.1154715203804,5305.160926,3901.09217,395.814262206849,1799.88301820685,NA,NA,main,main
35,36,637.5781932,110.685466410184,26.9540378458377,108.852034058964,26.6961838604469,5448.603796,4811.0256028,1305.74769500685,1943.32588820685,NA,NA,main,main
35,40,658.081379,110.685466410184,26.9540378458377,121.694012126809,29.6304278653274,5469.1069818,4811.0256028,1305.74769500685,1963.82907400685,NA,NA,main,main
42,43,171.4690229,105.01530816343,24.1154715203804,101.563369826166,21.9803466393735,5476.6299489,5305.160926,1799.88301820685,1971.35204110685,NA,NA,main,main
36,38,49.7442173,108.852034058964,26.6961838604469,111.25773020337,27.6678753829841,5498.3480133,5448.603796,1943.32588820685,1993.07010550685,NA,NA,main,main
43,44,21.76848409,101.563369826166,21.9803466393735,101.57332254899,21.2129874101336,5498.39843299,5476.6299489,1971.35204110685,1993.12052519685,NA,NA,main,main
44,48,3.337153487,101.57332254899,21.2129874101336,101.549751379041,21.0253708760111,5501.735586477,5498.39843299,1993.12052519685,1996.45767868385,NA,NA,main,main
40,41,34.7398016,121.694012126809,29.6304278653274,121.630368880599,29.5896158325504,5503.8467834,5469.1069818,1963.82907400685,1998.56887560685,NA,NA,main,main
48,49,2.418087382,101.549751379041,21.0253708760111,101.941415748566,18.8393002520314,5504.153673859,5501.735586477,1996.45767868385,1998.87576606585,NA,NA,main,main
44,45,6.278492968,101.57332254899,21.2129874101336,101.631975746274,21.1015282759576,5504.676925958,5498.39843299,1993.12052519685,1999.39901816485,NA,NA,main,main
49,50,5.472858027,101.941415748566,18.8393002520314,102.460498673756,15.687421446075,5509.626531886,5504.153673859,1998.87576606585,2004.34862409285,NA,NA,main,main
49,52,8.742396265,101.941415748566,18.8393002520314,101.864606155321,18.6474438169959,5512.896070124,5504.153673859,1998.87576606585,2007.61816233085,NA,NA,main,main
36,37,67.1491474,108.852034058964,26.6961838604469,102.724124374194,24.7819789621771,5515.7529434,5448.603796,1943.32588820685,2010.47503560685,NA,NA,main,main
45,46,17.15384806,101.631975746274,21.1015282759576,102.072000097897,18.6290939789152,5521.830774018,5504.676925958,1999.39901816485,2016.55286622485,NA,NA,main,main
50,51,16.26806406,102.460498673756,15.687421446075,106.155802533987,13.7449150952715,5525.894595946,5509.626531886,2004.34862409285,2020.61668815285,NA,NA,main,main
52,53,13.11806467,101.864606155321,18.6474438169959,102.1079155377,18.7351911689175,5526.014134794,5512.896070124,2007.61816233085,2020.73622700085,NA,NA,main,main
46,47,4.244989204,102.072000097897,18.6290939789152,102.109748072576,18.6457323436196,5526.075763222,5521.830774018,2016.55286622485,2020.79785542885,NA,NA,main,main
38,39,28.18140991,111.25773020337,27.6678753829841,111.43564921434,27.8176456159096,5526.52942321,5498.3480133,1993.07010550685,2021.25151541685,NA,NA,main,main
29,6,4821.479732,112.146778370256,28.413478026079,141.380780555762,39.4950744395294,5526.5628382,705.0831062,-2800.19480159315,2021.28493040685,SC2_LC556375.1,Rhinolophus cornutus,main,main
38,9,28.21482576,111.25773020337,27.6678753829841,111.457061743283,27.644754436603,5526.56283906,5498.3480133,1993.07010550685,2021.28493126685,SC2_OK017805.1,Rhinolophus pusillus,main,main
37,7,10.80989566,102.724124374194,24.7819789621771,102.341448593804,24.7073943706698,5526.56283906,5515.7529434,2010.47503560685,2021.28493126685,SC2_MW703458.1,Rhinolophus pusillus,main,main
37,8,10.80989566,102.724124374194,24.7819789621771,102.421029071669,24.7476440930845,5526.56283906,5515.7529434,2010.47503560685,2021.28493126685,SC2_OK017806.1,Rhinolophus pusillus,main,main
