node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
28,27,51446.80408,119.011005318103,28.2595254927448,119.260276393144,28.0928807835688,51446.80408,0,-49425.5191584932,2021.28492150685,SC2_KF294457.1,main,main
28,29,26102.29062,119.011005318103,28.2595254927448,120.736470506398,29.6062408578629,26102.29062,0,-49425.5191584932,-23323.2285384932,NA,main,main
29,30,22681.28313,120.736470506398,29.6062408578629,108.79220071578,20.8109020713113,48783.57375,26102.29062,-23323.2285384932,-641.94540849316,NA,main,main
30,31,1651.939589,108.79220071578,20.8109020713113,107.349689468951,21.2839384173368,50435.513339,48783.57375,-641.94540849316,1009.99418050684,NA,main,main
31,32,635.5141773,107.349689468951,21.2839384173368,107.238150164182,21.2280889770716,51071.0275163,50435.513339,1009.99418050684,1645.50835780684,NA,main,main
32,33,121.4637714,107.238150164182,21.2280889770716,106.641624787969,19.9954946659818,51192.4912877,51071.0275163,1645.50835780684,1766.97212920685,NA,main,main
33,34,55.43581455,106.641624787969,19.9954946659818,111.563194229115,24.4094312024169,51247.92710225,51192.4912877,1766.97212920685,1822.40794375684,NA,main,main
33,38,116.1140114,106.641624787969,19.9954946659818,101.355131467675,23.0895684764294,51308.6052991,51192.4912877,1766.97212920685,1883.08614060684,NA,main,main
34,35,83.43495794,111.563194229115,24.4094312024169,111.775280187591,24.2675109371939,51331.36206019,51247.92710225,1822.40794375684,1905.84290169684,NA,main,main
38,39,56.37089155,101.355131467675,23.0895684764294,101.661167733774,23.3319005503941,51364.97619065,51308.6052991,1883.08614060684,1939.45703215684,NA,main,main
39,40,32.25019876,101.661167733774,23.3319005503941,101.685076247507,23.4033623683736,51397.22638941,51364.97619065,1939.45703215684,1971.70723091684,NA,main,main
40,41,10.02249493,101.685076247507,23.4033623683736,101.012933330758,22.0798681230993,51407.24888434,51397.22638941,1971.70723091684,1981.72972584684,NA,main,main
41,44,0.8597000284,101.012933330758,22.0798681230993,100.930605318477,21.9877140818409,51408.1085843684,51407.24888434,1981.72972584684,1982.58942587524,NA,main,main
44,46,10.38144218,100.930605318477,21.9877140818409,101.731425493973,19.0049581280975,51418.4900265484,51408.1085843684,1982.58942587524,1992.97086805525,NA,main,main
34,37,176.6550204,111.563194229115,24.4094312024169,123.804998772145,31.5083751496911,51424.58212265,51247.92710225,1822.40794375684,1999.06296415684,NA,main,main
41,42,21.77936424,101.012933330758,22.0798681230993,101.130224780487,21.822113410203,51429.02824858,51407.24888434,1981.72972584684,2003.50909008684,NA,main,main
44,45,21.91407154,100.930605318477,21.9877140818409,101.511904321104,22.6127706415289,51430.0226559084,51408.1085843684,1982.58942587524,2004.50349741524,NA,main,main
40,48,36.51372935,101.685076247507,23.4033623683736,101.074742060517,23.0020840724068,51433.74011876,51397.22638941,1971.70723091684,2008.22096026684,NA,main,main
46,47,20.53152841,101.731425493973,19.0049581280975,102.337632689577,18.6189711666874,51439.0215549584,51418.4900265484,1992.97086805525,2013.50239646525,NA,main,main
