node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
39,40,458.6629019,112.102117948236,25.3431373556865,110.930084179392,23.1982061294463,458.6629019,0,-7797.67351000959,-7339.01060810959,NA,main,main
40,46,8721.080379,110.930084179392,23.1982061294463,111.825230885477,24.6033235227958,9179.7432809,458.6629019,-7339.01060810959,1382.06977089041,NA,main,main
46,62,305.1735861,111.825230885477,24.6033235227958,115.450453237462,22.074943895564,9484.916867,9179.7432809,1382.06977089041,1687.24335699041,NA,main,main
62,70,201.9419008,115.450453237462,22.074943895564,115.79596876459,22.3129656084749,9686.8587678,9484.916867,1687.24335699041,1889.18525779041,NA,main,main
39,73,9703.480189,112.102117948236,25.3431373556865,138.789036758816,32.6489731412115,9703.480189,0,-7797.67351000959,1905.80667899041,NA,main,main
46,47,525.5667508,111.825230885477,24.6033235227958,103.596322836127,16.4055665679734,9705.3100317,9179.7432809,1382.06977089041,1907.63652169041,NA,main,main
62,63,239.159411,115.450453237462,22.074943895564,114.363162917426,25.4841991361509,9724.076278,9484.916867,1687.24335699041,1926.40276799041,NA,main,main
73,74,62.64935411,138.789036758816,32.6489731412115,139.133261257397,36.7928629474803,9766.12954311,9703.480189,1905.80667899041,1968.45603310041,NA,main,main
70,71,81.5884365,115.79596876459,22.3129656084749,117.693434022414,23.5850742029584,9768.4472043,9686.8587678,1889.18525779041,1970.77369429041,NA,main,main
74,75,17.2984974,139.133261257397,36.7928629474803,139.486878900559,35.9742327393076,9783.42804051,9766.12954311,1968.45603310041,1985.75453050041,NA,main,main
63,64,63.6573277,114.363162917426,25.4841991361509,114.256446913073,25.5089232127476,9787.7336057,9724.076278,1926.40276799041,1990.06009569041,NA,main,main
47,48,82.87478143,103.596322836127,16.4055665679734,105.209033589712,16.6782005320722,9788.18481313,9705.3100317,1907.63652169041,1990.51130312041,NA,main,main
48,49,5.126603745,105.209033589712,16.6782005320722,101.539390150934,19.1769673000908,9793.311416875,9788.18481313,1990.51130312041,1995.63790686541,NA,main,main
49,50,0.8860066338,101.539390150934,19.1769673000908,100.75690087097,21.9332826068042,9794.1974235088,9793.311416875,1995.63790686541,1996.52391349921,NA,main,main
71,72,33.61491154,117.693434022414,23.5850742029584,122.395435792781,29.9570140771811,9802.06211584,9768.4472043,1970.77369429041,2004.38860583041,NA,main,main
50,51,9.30668013,100.75690087097,21.9332826068042,101.022955720712,21.6539595524592,9803.5041036388,9794.1974235088,1996.52391349921,2005.83059362921,NA,main,main
64,66,20.21549805,114.256446913073,25.5089232127476,101.538239030235,21.9265044974425,9807.94910375,9787.7336057,1990.06009569041,2010.27559374041,NA,main,main
50,52,19.51345878,100.75690087097,21.9332826068042,101.35022575264,21.4079202858983,9813.7108822888,9794.1974235088,1996.52391349921,2016.03737227921,NA,main,main
66,67,5.875874344,101.538239030235,21.9265044974425,102.680848239969,22.5785524425845,9813.824978094,9807.94910375,2010.27559374041,2016.15146808441,NA,main,main
67,68,3.141114099,102.680848239969,22.5785524425845,102.683342593955,22.5923609360762,9816.966092193,9813.824978094,2016.15146808441,2019.29258218341,NA,main,main
48,57,29.15258898,105.209033589712,16.6782005320722,106.016931661937,16.0429140297272,9817.33740211,9788.18481313,1990.51130312041,2019.66389210041,NA,main,main
68,69,0.5961326102,102.683342593955,22.5923609360762,102.685874282782,22.5924314305931,9817.5622248032,9816.966092193,2019.29258218341,2019.88871479361,NA,main,main
49,53,25.85072302,101.539390150934,19.1769673000908,102.302247974374,18.7989277176239,9819.162139895,9793.311416875,1995.63790686541,2021.48862988541,NA,main,main
57,58,1.843486597,106.016931661937,16.0429140297272,106.648807373502,16.3838170903811,9819.180888707,9817.33740211,2019.66389210041,2021.50737869741,NA,main,main
58,59,0.2960561361,106.648807373502,16.3838170903811,106.673456105266,16.2519273258787,9819.4769448431,9819.180888707,2021.50737869741,2021.80343483351,NA,main,main
64,65,32.0793909,114.256446913073,25.5089232127476,113.09708531804,27.0749793323997,9819.8129966,9787.7336057,1990.06009569041,2022.13948659041,NA,main,main
53,54,0.7410045561,102.302247974374,18.7989277176239,102.273312809498,18.805072612833,9819.9031444511,9819.162139895,2021.48862988541,2022.22963444151,NA,main,main
57,61,2.691410404,106.016931661937,16.0429140297272,106.530161065525,13.9429861471685,9820.028812514,9817.33740211,2019.66389210041,2022.35530250441,NA,main,main
54,55,0.2642209413,102.273312809498,18.805072612833,102.289507031626,18.8176249095602,9820.1673653924,9819.9031444511,2022.22963444151,2022.49385538281,NA,main,main
58,60,1.031176666,106.648807373502,16.3838170903811,106.665398628588,16.5807196764538,9820.212065373,9819.180888707,2021.50737869741,2022.53855536341,NA,main,main
53,56,1.165678727,102.302247974374,18.7989277176239,102.309157013023,18.8379308248832,9820.327818622,9819.162139895,2021.48862988541,2022.65430861241,NA,main,main
74,36,54.38506184,139.133261257397,36.7928629474803,140.270682106926,35.8280112563887,9820.51460495,9766.12954311,1968.45603310041,2022.84109494041,SC2_LC663959.1,main,main
75,35,37.08656444,139.486878900559,35.9742327393076,138.590489350177,37.1962867788297,9820.51460495,9783.42804051,1985.75453050041,2022.84109494041,SC2_LC663958.1,main,main
75,37,37.08656444,139.486878900559,35.9742327393076,137.805875379741,35.0306749256134,9820.51460495,9783.42804051,1985.75453050041,2022.84109494041,SC2_LC663793.1,main,main
73,38,117.034416,138.789036758816,32.6489731412115,141.386994378065,39.2968479736338,9820.514605,9703.480189,1905.80667899041,2022.84109499041,SC2_LC556375.1,main,main
