node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
39,40,27367.14125,111.555951130544,25.2325125849093,102.92038836275,28.5963376381938,27367.14125,0,-29146.6013418096,-1779.46009180959,NA
39,61,13549.18735,111.555951130544,25.2325125849093,111.40202290862,25.5389017523788,13549.18735,0,-29146.6013418096,-15597.4139918096,NA
61,62,13625.67026,111.40202290862,25.5389017523788,111.255429253236,25.4877775980966,27174.85761,13549.18735,-15597.4139918096,-1971.74373180959,NA
62,63,3077.936598,111.255429253236,25.4877775980966,110.876393679131,27.5573384401389,30252.794208,27174.85761,-1971.74373180959,1106.19286619041,NA
40,41,2934.073143,102.92038836275,28.5963376381938,102.757690202191,22.3585105754708,30301.214393,27367.14125,-1779.46009180959,1154.61305119041,NA
62,72,3299.491581,111.255429253236,25.4877775980966,111.411847306287,25.5490313130889,30474.349191,27174.85761,-1971.74373180959,1327.74784919041,NA
41,42,551.1150226,102.757690202191,22.3585105754708,104.435451675752,15.813410098221,30852.3294156,30301.214393,1154.61305119041,1705.72807379041,NA
41,49,586.2311659,102.757690202191,22.3585105754708,102.730192843473,22.2967897661917,30887.4455589,30301.214393,1154.61305119041,1740.84421709041,NA
63,64,710.1668937,110.876393679131,27.5573384401389,111.926543985944,28.3658184002488,30962.9611017,30252.794208,1106.19286619041,1816.35975989041,NA
42,43,162.1196816,104.435451675752,15.813410098221,103.847204878274,18.9275421366642,31014.4490972,30852.3294156,1705.72807379041,1867.84775539041,NA
61,73,17472.55417,111.40202290862,25.5389017523788,139.424422087381,37.6965690358127,31021.74152,13549.18735,-15597.4139918096,1875.14017819041,NA
73,74,24.2311242,139.424422087381,37.6965690358127,139.243818536573,37.8803762507281,31045.9726442,31021.74152,1875.14017819041,1899.37130239041,NA
64,68,83.882373,111.926543985944,28.3658184002488,111.88878312936,28.6549452935836,31046.8434747,30962.9611017,1816.35975989041,1900.24213289041,NA
49,50,181.8338885,102.730192843473,22.2967897661917,102.594754348268,22.2790968307484,31069.2794474,30887.4455589,1740.84421709041,1922.67810559041,NA
64,65,107.0399382,111.926543985944,28.3658184002488,111.984477791235,28.302992154971,31070.0010399,30962.9611017,1816.35975989041,1923.39969809041,NA
63,69,823.9703915,110.876393679131,27.5573384401389,101.514070055933,24.7267214957193,31076.7645995,30252.794208,1106.19286619041,1930.16325769041,NA
50,51,56.84789311,102.594754348268,22.2790968307484,101.919304364098,18.4805057781522,31126.12734051,31069.2794474,1922.67810559041,1979.52599870041,NA
51,52,5.763613031,101.919304364098,18.4805057781522,102.037666543564,18.6465853624331,31131.890953541,31126.12734051,1979.52599870041,1985.28961173141,NA
52,53,4.116936777,102.037666543564,18.6465853624331,102.091186425147,18.7264617096628,31136.007890318,31131.890953541,1985.28961173141,1989.40654850841,NA
65,66,68.4632883,111.984477791235,28.302992154971,122.27590728495,29.8400750921482,31138.4643282,31070.0010399,1923.39969809041,1991.86298639041,NA
69,70,63.80346135,101.514070055933,24.7267214957193,101.179932970257,24.0974625465456,31140.56806085,31076.7645995,1930.16325769041,1993.96671904041,NA
52,56,8.722222954,102.037666543564,18.6465853624331,101.860517441856,18.8632114648227,31140.613176495,31131.890953541,1985.28961173141,1994.01183468541,NA
73,75,127.836569,139.424422087381,37.6965690358127,139.33482873005,36.9231459472102,31149.578089,31021.74152,1875.14017819041,2002.97674719041,NA
43,44,141.6471629,103.847204878274,18.9275421366642,106.911677307236,16.7119182303902,31156.0962601,31014.4490972,1867.84775539041,2009.49491829041,NA
53,54,23.29280996,102.091186425147,18.7264617096628,102.280945634679,18.8118815004502,31159.300700278,31136.007890318,1989.40654850841,2012.69935846841,NA
54,55,6.840317549,102.280945634679,18.8118815004502,102.296176735869,18.8523771664348,31166.141017827,31159.300700278,2012.69935846841,2019.53967601741,NA
