node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
73,74,12.9203078750806,102.103507571364,18.8615057503351,101.992533833293,18.953348311022,660.295168169201,647.37486029412,1979.71104900367,1992.63135687875,NA,main,main
52,53,27.6135134736331,102.558627107598,21.4396551285042,103.400781903082,23.1450111613387,670.78652787967,643.173014406037,1975.50920311559,2003.12271658922,NA,main,main
63,64,4.61435326302719,106.101651349997,13.8012870139358,106.001755259574,13.7031673198203,678.427073702595,673.812720439568,2006.14890914912,2010.76326241215,NA,main,main
63,16,4.77985797416578,106.101651349997,13.8012870139358,106.245503914544,13.7017392332944,678.592578413734,673.812720439568,2006.14890914912,2010.92876712329,SC2_EPI_ISL_852604,main,main
64,17,0.165504711138588,106.001755259574,13.7031673198203,106.011399855671,13.6525260145266,678.592578413734,678.427073702595,2010.76326241215,2010.92876712329,SC2_EPI_ISL_852605,main,main
43,37,10.5480757743818,139.851244925809,38.7458561196326,141.325013474844,39.3781894574598,680.663811290447,670.115735516065,2002.45192422562,2013,SC2_LC556375.1,main,main
50,29,35.065731634853,122.164250773877,29.8492838195444,122.200274783401,30.0303890500736,683.159701701406,648.093970066553,1980.43015877611,2015.49589041096,SC2_MG772934.1,main,main
50,30,36.6547727307432,122.164250773877,29.8492838195444,122.211168088974,30.0098950073506,684.748742797296,648.093970066553,1980.43015877611,2017.08493150685,SC2_MG772933.1,main,main
52,34,42.4907968844101,102.558627107598,21.4396551285042,101.494423789528,25.0144309083569,685.663811290447,643.173014406037,1975.50920311559,2018,SC2_OP963576.1,main,main
53,54,15.1264178328971,103.400781903082,23.1450111613387,102.069588288741,22.3219614363576,685.912945712567,670.78652787967,2003.12271658922,2018.24913442212,NA,main,main
54,32,0.331687495688138,102.069588288741,22.3219614363576,102.057731431089,22.5257814864606,686.244633208255,685.912945712567,2018.24913442212,2018.58082191781,SC2_MW703458.1,main,main
74,75,26.3716117845144,101.992533833293,18.953348311022,102.026400988007,18.8029474625798,686.666779953715,660.295168169201,1992.63135687875,2019.00296866327,NA,main,main
72,12,32.4032849690494,101.307113453279,21.185734948826,101.687009467026,21.3708930576434,687.143263345241,654.739978376192,1987.07616708575,2019.47945205479,SC2_EPI_ISL_412977,main,main
53,31,17.0412178370066,103.400781903082,23.1450111613387,103.507648395189,23.3344342172577,687.827745716676,670.78652787967,2003.12271658922,2020.16393442623,SC2_OK287355.1,main,main
73,13,40.7971477176378,102.103507571364,18.8615057503351,102.033228579854,18.6801490732277,688.172008011758,647.37486029412,1979.71104900367,2020.50819672131,SC2_MZ937000.1,main,main
74,8,27.8823043234318,101.992533833293,18.953348311022,101.901503541019,18.8014979129076,688.177472492633,660.295168169201,1992.63135687875,2020.51366120219,SC2_MZ937001.1,main,main
75,9,1.51069253891739,102.026400988007,18.8029474625798,101.901963871837,18.6365114272692,688.177472492633,686.666779953715,2019.00296866327,2020.51366120219,SC2_MZ937002.1,main,main
75,10,1.51888926022877,102.026400988007,18.8029474625798,102.038135041514,18.869051314206,688.185669213944,686.666779953715,2019.00296866327,2020.5218579235,SC2_MZ937004.1,main,main
43,36,18.2147424410486,139.851244925809,38.7458561196326,138.051232098429,34.8265930444014,688.330477957113,670.115735516065,2002.45192422562,2020.66666666667,SC2_LC663793.1,main,main
51,27,7.14442527095478,112.679409150421,27.6576663348762,112.747269914695,27.5895637938695,688.748742797296,681.604317526341,2013.94050623589,2021.08493150685,SC2_OK017803.1,main,main
51,28,7.14442527095478,112.679409150421,27.6576663348762,113.439469053766,27.2881158777462,688.748742797296,681.604317526341,2013.94050623589,2021.08493150685,SC2_OK017804.1,main,main
64,65,11.4552346981519,106.001755259574,13.7031673198203,106.615802145725,16.6838257790262,689.882308400747,678.427073702595,2010.76326241215,2022.2184971103,NA,main,main
65,67,0.138338753476268,106.615802145725,16.6838257790262,106.564950658732,16.5982651301549,690.020647154224,689.882308400747,2022.2184971103,2022.35683586378,NA,main,main
65,66,0.215696015063218,106.615802145725,16.6838257790262,106.591264883925,16.765633503363,690.098004415811,689.882308400747,2022.2184971103,2022.43419312536,NA,main,main
54,33,4.23305735870191,102.069588288741,22.3219614363576,102.109721530909,22.3365448808042,690.146003071269,685.912945712567,2018.24913442212,2022.48219178082,SC2_OR233302.1,main,main
67,18,0.481520300606513,106.564950658732,16.5982651301549,106.602583143529,16.4924794186672,690.50216745483,690.020647154224,2022.35683586378,2022.83835616438,SC2_OR233324.1,main,main
66,19,0.404163039019564,106.591264883925,16.765633503363,106.578175726193,16.8489691420815,690.50216745483,690.098004415811,2022.43419312536,2022.83835616438,SC2_OR233322.1,main,main
67,20,0.484260026633871,106.564950658732,16.5982651301549,106.509479316449,16.635091895864,690.504907180857,690.020647154224,2022.35683586378,2022.84109589041,SC2_OR233328.1,main,main
66,21,0.406902765046921,106.591264883925,16.765633503363,106.946480969,16.9118102259495,690.504907180857,690.098004415811,2022.43419312536,2022.84109589041,SC2_OR233323.1,main,main
