name	isolate	host	country	date	SOURCE	latitude	longitude	coordinate_loc	coordinate_comment	general_comment	GARD	group
KF294457.1	Longquan-140	Rhinolophus monoceros	Zhejiang	2012	10.1016/j.virol.2017.03.019	28.07669997	119.1394854	Longquan			SC2/SC1	SC1/SC2
KF569996.1	LYRa11	Rhinolophus affinis	Yunnan	2011	10.1128/JVI.00631-14	25.25125189	99.11107516	Baoshan, Yunnan			SC1	SC1
KC881006.1	Rs3367	Rhinolophus sinicus	Yunnan	2012-03-19	10.1038/nature12711	24.883105430318807	102.82153645198404	Kunming			SC1	SC1
KF367457.1	WIV1	Rhinolophus sinicus	Yunnan	2012-09	10.1038/nature12711	24.88310543	102.8215365	Kunming			SC1	SC1
DQ648857.1	BtCoV/279/2005	Rhinolophus macrotis	Hubei	2004	10.1128/JVI.00697-06	31.695111423993936	111.07961660868963	Hubei	province-level		SC1	SC1
MN908947.3	Wuhan-Hu-1	Homo sapiens	Hubei	2019-12		30.67321023	114.2987561	Wuhan			SC2	SC2
MN996532.2	RaTG13	Rhinolophus affinis	Yunnan	2013-07-24	10.1038/s41586-020-2012-7	23.29298412	101.3836952	Tongguan Town			SC2	SC2
MG772933.1	bat-SL-CoVZC45	Rhinolophus pusillus	Zhejiang	2017-02	10.1038/s41426-018-0155-5	29.99128034	122.1944505	Zhoushan			SC2	SC1/SC2
MG772934.1	bat-SL-CoVZXC21	Rhinolophus pusillus	Zhejiang	2015-07	10.1038/s41426-018-0155-5	29.99128034	122.1944505	Zhoushan			SC2	SC1/SC2
MT040333.1	PCoV_GX-P4L	Manis javanica	Guangxi	2017	10.1038/s41586-020-2169-0	23.803076500000003	110.7481393	Guangxi	province-level			SC1/SC2
MT040334.1	PCoV_GX-P1E	Manis javanica	Guangxi	2017	10.1038/s41586-020-2169-0	23.803076500000003	110.7481393	Guangxi	province-level		SC2	SC1/SC2
MT040335.1	PCoV_GX-P5L	Manis javanica	Guangxi	2017	10.1038/s41586-020-2169-0	23.803076500000003	110.7481393	Guangxi	province-level			SC1/SC2
MT040336.1	PCoV_GX-P5E	Manis javanica	Guangxi	2017	10.1038/s41586-020-2169-0	23.803076500000003	110.7481393	Guangxi	province-level			SC1/SC2
MT072864.1	PCoV_GX-P2V	Manis javanica	Guangxi	2018	10.1038/s41586-020-2169-0	23.803076500000003	110.7481393	Guangxi	province-level			SC1/SC2
NC_014470.1	BtCoV/BM48-31/BGR/2008	Rhinolophus blasii	Bulgaria	2008	10.1128/JVI.00650-10	42.090717655816704	27.67733227813969	Strandzha Nature Park				outgroup
KY352407.1	BtKY72	Rhinolophus sp.	Kenya	2007-08	10.1128/MRA.00548-19	0.3802214649993059	37.76283048316015	Kenya	country-level			outgroup
JX993987.1	Rp/Shaanxi2011	Rhinolophus pusillus	Shaanxi	2011-09	10.3201/eid1906.121648	36.02900378	109.643279	Shaanxi	province-level		SC1	SC1
KU973692.1	F46	Rhinolophus pusillus	Yunnan	2012	10.1038/emi.2016.140	24.3949677	98.51836864	Mangshi			SC1	SC1
JX993988.1	Cp/Yunnan2011	Chaerephon plicata	Yunnan	2011	10.3201/eid1906.121648	24.26621094	101.4905298	Yunnan	province-level		SC1	SC1
DQ071615.1	Rp3	Rhinolophus pearsoni	Guangxi	2004-12	10.1126/science.1118391	22.859655983680145	108.35581145802244	Nanning			SC1	SC1
FJ588686.1	Rs672	Rhinolophus sinicus	Guizhou	2006	10.1099/vir.0.016378-0	27.527048807109463	107.59901736825704	Guizhou	province-level		SC1	SC1
AY394995.1	HSZ-Cc	Homo sapiens	Guangdong	2002-12	10.1126/science.1092002	23.18938968023	113.22208821094604	Guangzhou			SC1	SC1
KY417147.1	Rs4237	Rhinolophus sinicus	Yunnan	2013-04-17	10.1371/journal.ppat.1006698	24.883105430318807	102.82153645198404	Kunming			SC1	SC1
KJ473816.1	BtRs-YN2013	Rhinolophus sinicus	Yunnan	2013	10.1093/infdis/jiv476	24.883105430318807	102.82153645198404	Kunming			SC1	SC1
MK211378.1	BtRs-BetaCoV/YN2018D	Rhinolophus sinicus	Yunnan	2016-09	10.3389/fmicb.2019.01900	24.2662109374504	101.49052981981724	Yunnan	province-level	species correction: https://www.frontiersin.org/articles/10.3389/fmicb.2020.597510/full	SC1	SC1
MK211375.1	BtRs-BetaCoV/YN2018A	Rhinolophus sinicus	Yunnan	2016-09	10.3389/fmicb.2019.01900	24.2662109374504	101.49052981981724	Yunnan	province-level	species correction: https://www.frontiersin.org/articles/10.3389/fmicb.2020.597510/full	SC1	SC1
MK211376.1	BtRs-BetaCoV/YN2018B	Rhinolophus sinicus	Yunnan	2016-09	10.3389/fmicb.2019.01900	24.2662109374504	101.49052981981724	Yunnan	province-level	species correction: https://www.frontiersin.org/articles/10.3389/fmicb.2020.597510/full	SC1	SC1
